,actual_time,alliances,comp_level,event_key,key,match_number,post_result_time,predicted_time,score_breakdown,set_number,time,videos,winning_alliance
30,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 80, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc931', 'frc1023', 'frc3462'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 66, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc3017', 'frc1477', 'frc771'], dtype=object)}}",qm,2011arc,2011arc_qm116,116,,,,1,,[],blue
31,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 123, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc3010', 'frc2549', 'frc2054'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 54, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc3494', 'frc3256', 'frc45'], dtype=object)}}",qm,2011arc,2011arc_qm117,117,,,,1,,"[{'key': '4MeNvTthrpg', 'type': 'youtube'}]",blue
32,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 106, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc2169', 'frc74', 'frc155'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 11, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc862', 'frc1629', 'frc766'], dtype=object)}}",qm,2011arc,2011arc_qm118,118,,,,1,,[],blue
33,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 53, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc2984', 'frc932', 'frc177'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 36, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc2543', 'frc1000', 'frc701'], dtype=object)}}",qm,2011arc,2011arc_qm119,119,,,,1,,[],blue
34,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 54, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1065', 'frc2169', 'frc118'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 106, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc33', 'frc74', 'frc3098'], dtype=object)}}",qm,2011arc,2011arc_qm12,12,,,,1,,"[{'key': 'Cv-AnvOD-wo', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2011arc/2011arc_qm12.mp4', 'type': 'tba'}]",red
35,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 77, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc435', 'frc1014', 'frc190'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 9, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc440', 'frc3322', 'frc1535'], dtype=object)}}",qm,2011arc,2011arc_qm120,120,,,,1,,[],blue
36,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 15, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1547', 'frc930', 'frc3481'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 33, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1182', 'frc3694', 'frc360'], dtype=object)}}",qm,2011arc,2011arc_qm121,121,,,,1,,[],red
37,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 47, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc203', 'frc1640', 'frc503'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 78, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1482', 'frc3704', 'frc781'], dtype=object)}}",qm,2011arc,2011arc_qm122,122,,,,1,,[],red
38,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 79, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc3506', 'frc3098', 'frc3539'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 45, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc3756', 'frc303', 'frc1138'], dtype=object)}}",qm,2011arc,2011arc_qm123,123,,,,1,,[],blue
39,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 116, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1718', 'frc330', 'frc1270'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 44, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1622', 'frc2016', 'frc3462'], dtype=object)}}",qm,2011arc,2011arc_qm124,124,,,,1,,[],blue
40,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 62, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1912', 'frc45', 'frc3351'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 21, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc167', 'frc931', 'frc131'], dtype=object)}}",qm,2011arc,2011arc_qm125,125,,,,1,,"[{'key': 'AqoJj8ysNHM', 'type': 'youtube'}]",blue
41,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 6, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc2549', 'frc677', 'frc2500'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 115, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc118', 'frc597', 'frc1023'], dtype=object)}}",qm,2011arc,2011arc_qm126,126,,,,1,,[],red
42,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 104, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1065', 'frc1323', 'frc771'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 43, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc2949', 'frc2022', 'frc1518'], dtype=object)}}",qm,2011arc,2011arc_qm127,127,,,,1,,[],blue
43,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 44, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc3467', 'frc1690', 'frc229'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 106, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc2169', 'frc1477', 'frc876'], dtype=object)}}",qm,2011arc,2011arc_qm128,128,,,,1,,[],red
44,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 96, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc2054', 'frc846', 'frc3616'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 60, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc3747', 'frc238', 'frc3596'], dtype=object)}}",qm,2011arc,2011arc_qm129,129,,,,1,,[],blue
45,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 42, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc862', 'frc1622', 'frc3010'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 24, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1690', 'frc1482', 'frc440'], dtype=object)}}",qm,2011arc,2011arc_qm13,13,,,,1,,"[{'key': 'UhOOlYrmbI4', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2011arc/2011arc_qm13.mp4', 'type': 'tba'}]",blue
46,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 104, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc2512', 'frc3010', 'frc1918'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 79, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1510', 'frc33', 'frc537'], dtype=object)}}",qm,2011arc,2011arc_qm130,130,,,,1,,[],blue
